_id,movie_name,movie_year,movie_actors,movie_rating,movie_review_url
6751668,Parasite,2019,Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee,8.5,https://www.imdb.com/title/tt6751668/reviews?ref_=tt_urv
0110357,The Lion King,1994,Roger Allers (dir.), Matthew Broderick, Jeremy Irons,8.5,https://www.imdb.com/title/tt0110357/reviews?ref_=tt_urv
0120586,American History X,1998,Tony Kaye (dir.), Edward Norton, Edward Furlong,8.5,https://www.imdb.com/title/tt0120586/reviews?ref_=tt_urv
0088763,Back to the Future,1985,Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd,8.5,https://www.imdb.com/title/tt0088763/reviews?ref_=tt_urv
0253474,The Pianist,2002,Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann,8.5,https://www.imdb.com/title/tt0253474/reviews?ref_=tt_urv
0103064,Terminator 2: Judgment Day,1991,James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton,8.5,https://www.imdb.com/title/tt0103064/reviews?ref_=tt_urv
0027977,Modern Times,1936,Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard,8.5,https://www.imdb.com/title/tt0027977/reviews?ref_=tt_urv
0054215,Psycho,1960,Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh,8.5,https://www.imdb.com/title/tt0054215/reviews?ref_=tt_urv
1675434,The Intouchables,2011,Olivier Nakache (dir.), François Cluzet, Omar Sy,8.5,https://www.imdb.com/title/tt1675434/reviews?ref_=tt_urv
0172495,Gladiator,2000,Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix,8.5,https://www.imdb.com/title/tt0172495/reviews?ref_=tt_urv
0021749,City Lights,1931,Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill,8.5,https://www.imdb.com/title/tt0021749/reviews?ref_=tt_urv
0407887,The Departed,2006,Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon,8.5,https://www.imdb.com/title/tt0407887/reviews?ref_=tt_urv
2582802,Whiplash,2014,Damien Chazelle (dir.), Miles Teller, J.K. Simmons,8.5,https://www.imdb.com/title/tt2582802/reviews?ref_=tt_urv
0064116,Once Upon a Time in the West,1968,Sergio Leone (dir.), Henry Fonda, Charles Bronson,8.5,https://www.imdb.com/title/tt0064116/reviews?ref_=tt_urv
0482571,The Prestige,2006,Christopher Nolan (dir.), Christian Bale, Hugh Jackman,8.5,https://www.imdb.com/title/tt0482571/reviews?ref_=tt_urv
0034583,Casablanca,1942,Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman,8.4,https://www.imdb.com/title/tt0034583/reviews?ref_=tt_urv
0095327,Grave of the Fireflies,1988,Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi,8.4,https://www.imdb.com/title/tt0095327/reviews?ref_=tt_urv
0047396,Rear Window,1954,Alfred Hitchcock (dir.), James Stewart, Grace Kelly,8.4,https://www.imdb.com/title/tt0047396/reviews?ref_=tt_urv
0095765,Cinema Paradiso,1988,Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale,8.4,https://www.imdb.com/title/tt0095765/reviews?ref_=tt_urv
0078748,Alien,1979,Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt,8.4,https://www.imdb.com/title/tt0078748/reviews?ref_=tt_urv
